統一編號,商業名稱,商業地址,登記狀態,經度,緯度,類別
2136670,好享記小吃店,新北市新店區三民路125號,核准設立,121.534642,24.97231,餐館業
2138017,味味香自助餐,新北市板橋區中山路2段315號,核准設立,121.478918,25.018607,餐館業
2138754,水云濮小吃店,新北市板橋區長江路3段110號,核准設立,121.475042,25.034368,餐館業
2140436,逸清日式大福,新北市板橋區國光路214之1號,核准設立,121.462239,25.018495,餐館業
2140837,華軒小吃店,新北市永和區中和路475巷3號,核准設立,121.510082,25.002062,餐館業
2141744,興隆小吃店,新北市中和區自立路4號,核准設立,121.522393,24.996585,餐館業
2142912,法比歐商行,新北市汐止區新台五路1段196號,核准設立,121.655347,25.062786,餐館業
2143095,甦活企業社,新北市淡水區新生街51巷39之2號,核准設立,121.440941,25.176072,餐館業
2143118,老杜雞肉飯,新北市土城區福仁街22號,核准設立,121.440027,24.975815,餐館業
2143428,炘芳婷企業社,新北市淡水區坪頂路710巷15號,核准設立,121.481371,25.158552,餐館業
2146157,河內美食館,新北市新莊區五權一路98號,核准設立,121.459573,25.067469,餐館業
2146229,金季小吃店,新北市板橋區文化路1段421巷5號,核准設立,121.467094,25.022753,餐館業
2146261,日興小吃,新北市淡水區中山北路1段247巷92號,核准設立,121.442263,25.179358,餐館業
2146712,詠珈咖啡館,新北市中和區連城路250號,核准設立,121.487456,24.996608,餐館業
2147091,御品日式涮涮鍋店,新北市林口區文化一路2段198號,核准設立,121.383039,25.080405,餐館業
2147156,香港宏海快餐店,新北市永和區保平路179號,核准設立,121.509372,25.005264,餐館業
2147395,水上鱻小吃店,新北市汐止區建成路37巷7號,核准設立,121.663589,25.072573,餐館業
2149507,如祥綜合商行,新北市淡水區新生街45號,核准設立,121.440296,25.174851,餐館業
2152777,淘喜鍋小吃店,新北市板橋區重慶路104號,核准設立,121.461985,25.005634,餐館業
2155654,瀚翔小吃店,新北市中和區圓通路277號,核准設立,121.495617,24.992985,餐館業
2156181,歐啪鐵板燒,新北市淡水區北新路82號,核准設立,121.446689,25.178289,餐館業
2157294,吉采百貨商品店,新北市淡水區新市一路三段166號,核准設立,121.447688,25.182794,餐館業
2164942,月圓早餐店,新北市林口區粉寮路1段82號,核准設立,121.397315,25.079262,餐館業
2176757,錝駿精工廠,新北市新莊區中正路514巷53弄48號,核准設立,121.430494,25.034321,餐館業
2182532,王家小吃店,新北市樹林區保安街1段94號,核准設立,121.424225,24.994743,餐館業
2203728,卡托餐飲,新北市板橋區國光路41號,核准設立,121.457635,25.017815,餐館業
2218291,淡水陳家可口魚丸店,新北市淡水區中正路232號,核准設立,121.439089,25.170833,餐館業
2218953,左岸拾號書店,新北市八里區龍米路1段356巷10號,核准設立,121.451975,25.131133,餐館業
2219382,衆誠小吃店,新北市樹林區文化街26號,核准設立,121.419382,24.987725,餐館業
2220487,賀利旺彩券行,新北市板橋區吳鳳路70號,核准設立,121.46738,25.030871,餐館業
2220584,新正小吃店,新北市新店區中正路257號,核准設立,121.538822,24.973475,餐館業
2220923,泰明志洗衣店,新北市泰山區明志路3段119號,核准設立,121.425143,25.040788,餐館業
2221134,鑄鐵食火鍋,新北市林口區文化二路2段151號,核准設立,121.379855,25.083099,餐館業
2221211,藤井屋日式手工飯糰,新北市永和區秀朗路2段9號,核准設立,121.520866,25.002874,餐館業
2224744,後街藝術企業社,新北市中和區南山路513號,核准設立,121.50805,24.987485,餐館業
2224842,佘家孔雀蛤大王餐廳,新北市八里區渡船頭街22號,核准設立,121.434846,25.158475,餐館業
2225223,小多多鍋貼專賣店,新北市中和區新生街217號,核准設立,121.483874,24.999511,餐館業
2225820,富坂小吃店,新北市淡水區學府路２１號,核准設立,121.447612,25.168568,餐館業
2227849,渡三餐美食屋,新北市淡水區北新路3段38巷11號,核准設立,121.484708,25.187054,餐館業
2227881,奇峰石小吃店,新北市金山區林口28之3號,核准設立,121.596914,25.209563,餐館業
2228495,尚青的快炒店,新北市八里區中山路2段257號,核准設立,121.402666,25.148877,餐館業
2229641,美樂蒂飲食店,新北市三峽區民生街106之3號,核准設立,121.373652,24.93551,餐館業
2232929,陽明莊小吃店,新北市三芝區楓子林４６之２號,核准設立,121.501998,25.204934,餐館業
2240202,溪仔邊商行,新北市板橋區三民路2段206之2號,核准設立,121.47872,25.012052,餐館業
2244642,奕甄軒商行,新北市淡水區水源路１段１２２巷９號,核准設立,,,餐館業
2244994,琪琪速食餐飲店,新北市八里區中山路2段261號,核准設立,121.402506,25.148862,餐館業
2246233,高記軒商行,新北市淡水區中山北路１段１１７號,核准設立,121.442559,25.176816,餐館業
2250171,高律企業社,新北市新店區民權路３８號,核准設立,121.540735,24.983044,餐館業
2257771,得志飲食店,新北市金山區中山路159號,核准設立,121.638709,25.220424,餐館業
2265060,金茂山小吃店,新北市金山區四維街６號,核准設立,,,餐館業
2265224,阿輝鴨肉海產店,新北市萬里區瑪鋉路21號,核准設立,121.687234,25.175482,餐館業
2267068,得意五十便當,新北市五股區四維路116之2號,核准設立,121.46797,25.074495,餐館業
2267145,松記小吃店,新北市板橋區僑中一街102巷7弄19號,核准設立,121.446096,25.012917,餐館業
2267460,美笑咖啡,新北市中和區新興街17巷1號,核准設立,121.512292,25.002578,餐館業
2267692,金吉利水果行,新北市汐止區建成路59巷63號,核准設立,121.660907,25.072266,餐館業
