COUNTY_ID,COUNTY,TOWN_ID,TOWN,V_ID,VILLAGE,P_CNT,M_F_RAT,P_H_CNT,P_DEN,A65_A0A14_RAT,COLLEGE_RATE,MARRIAGED_RATE,A0_A19_COUNT_RATE,A20_A39_COUNT_RATE,A40_A59_COUNT_RATE,A60_A79_COUNT_RATE,A80up_COUNT_RATE,ml1,ml2,ml3,ml4,ml5,ml6,ml7,ml8,ml9,ml10,ml11,ml12,ml13,ml14,ml15,ml16,ml17,ml18,ml19,ml20,ml21,ml22,ml23,ml24
65000,新北市,65000130,土城區,65000130-038,永富里,5550,97.44,2.82,37446.11,75.15,33.5315315315315,40.4864864864865,18.4144144144144,33.2252252252252,31.7657657657658,15.7657657657658,0.828828828828829,4,1,3,4,2,3,3,3,2,3,4,2,3,1,3,3,1,5,3,4,4,3,3,5
65000,新北市,65000130,土城區,65000130-039,學成里,3423,98.55,2.95,65052.55,71.1,40.3739409874379,45.0482033304119,17.1486999707859,35.0861817119486,30.4703476482618,15.9217061057552,1.37306456324861,4,4,3,4,4,3,3,3,2,2,4,2,3,4,3,3,3,3,3,3,4,3,3,5
65000,新北市,65000130,土城區,65000130-040,延和里,6761,90.13,2.72,68002.37,70.52,37.4352906374797,43.1001331164029,18.562342848691,32.6431001331164,32.0958438100873,15.4858748705813,1.21283833752403,4,4,3,4,4,3,3,3,2,2,4,2,3,3,3,3,3,3,3,3,4,3,3,5
65000,新北市,65000130,土城區,65000130-041,中正里,3415,90.36,2.72,48248.77,65.27,41.4055636896047,40.6734992679356,19.9414348462665,31.5080527086384,33.7335285505124,13.411420204978,1.40556368960469,4,4,3,4,4,3,3,3,2,3,4,2,3,3,3,3,3,3,3,3,4,3,3,5
65000,新北市,65000130,土城區,65000130-042,學士里,5081,93.34,2.77,65669.75,55.14,47.7268254280653,43.7315489076953,21.4131076559732,30.0334579807125,35.0127927573312,12.1039165518599,1.4367250541232,4,4,3,4,4,3,3,3,2,2,2,2,3,3,3,3,3,3,3,3,4,3,3,5
65000,新北市,65000130,土城區,65000130-043,明德里,6024,85.53,2.51,39095.81,65.1,51.0126162018592,45.0697211155378,18.1440903054449,31.4907038512616,36.9521912350598,11.8525896414343,1.56042496679947,2,4,3,2,3,1,1,1,1,2,1,2,4,3,2,2,3,3,4,1,1,3,1,1
65000,新北市,65000130,土城區,65000130-044,廣興里,3645,91.24,2.75,37016.35,64.65,43.2098765432099,42.2770919067215,20,31.522633744856,33.3058984910837,13.6899862825789,1.48148148148148,4,4,3,1,4,3,3,3,2,3,4,2,3,4,3,3,3,3,3,3,4,3,3,3
65000,新北市,65000130,土城區,65000130-045,青山里,3178,98.75,2.94,8682.68,90.55,34.70736312146,43.7696664568911,18.0302076777848,33.7319068596602,27.5330396475771,18.7539332913782,1.95091252359975,1,1,5,1,1,4,4,4,5,3,3,4,1,1,4,4,4,5,4,4,1,4,5,3
65000,新北市,65000130,土城區,65000130-046,金城里,6435,90.44,2.68,110643.05,63.41,39.9378399378399,42.6728826728827,19.8135198135198,28.8733488733489,37.7622377622378,12.3853923853924,1.16550116550117,4,4,3,4,4,3,3,3,2,2,2,2,3,4,3,3,3,3,3,3,4,3,3,5
65000,新北市,65000130,土城區,65000130-047,延祿里,4415,99.05,2.79,102849.02,84.5,33.3635334088335,42.1744054360136,18.1200453001133,32.2989807474519,32.163080407701,16.2853907134768,1.13250283125708,4,4,3,4,4,3,3,3,2,2,4,2,3,4,3,3,3,3,3,3,4,3,3,5
65000,新北市,65000140,蘆洲區,65000140-001,正義里,14260,91.82,2.73,19672.49,26.4,42.0617110799439,43.7517531556802,30.343618513324,26.9004207573633,32.8471248246844,8.98316970546985,0.925666199158485,2,3,1,2,2,1,1,1,3,3,1,1,2,2,2,1,1,2,1,1,1,1,1,2
65000,新北市,65000140,蘆洲區,65000140-002,中原里,6098,97.35,2.84,43847.16,58.22,35.9790095113152,42.3253525746146,21.5972449983601,31.7809117743522,30.8133814365366,14.6605444408003,1.1479173499508,4,4,3,4,2,3,3,3,2,3,4,2,3,4,3,3,3,5,3,3,4,3,3,5
65000,新北市,65000140,蘆洲區,65000140-003,中路里,4264,98.42,2.9,33420.33,74.32,36.3977485928705,42.8705440900563,19.9108818011257,32.1294559099437,30.8395872420263,15.6894934333959,1.43058161350844,4,1,3,1,4,3,3,3,2,3,4,2,3,1,3,4,2,5,3,4,4,4,3,3
65000,新北市,65000140,蘆洲區,65000140-004,光華里,5490,90.23,2.79,74496.23,92,36.4845173041894,42.4225865209472,18.0145719489982,32.2586520947177,31.1293260473588,16.775956284153,1.82149362477231,4,4,3,4,4,3,3,3,2,2,4,2,3,4,3,3,3,3,3,3,4,3,3,5
65000,新北市,65000140,蘆洲區,65000140-005,保佑里,3984,99.9,2.88,26244.89,100.19,35.8935742971888,41.4156626506024,18.2730923694779,31.25,30.6224899598394,17.4196787148594,2.43473895582329,4,1,3,1,1,3,3,3,2,3,4,2,3,1,3,4,2,5,4,4,4,4,3,3
65000,新北市,65000140,蘆洲區,65000140-006,水湳里,10963,96.33,2.86,43526.25,61.58,37.8454802517559,42.4427620176959,20.459728176594,31.66104168567,33.9231962054182,12.414485086199,1.54154884611876,2,3,1,2,2,1,1,1,3,1,1,1,2,2,2,1,1,2,1,1,1,1,1,2
