COUNTY,TOWN,vote10,vote11,vote12,vote13,vote14,vote15,各鄉鎮市區教會個數,KMT得票率,大學畢業比例,曾經結婚比例,年齡中位數,所得中位數
南投縣,國姓鄉,0.801651023408346,0.718735737106344,0.603986634404885,0.397435897435897,0.25912865430554,0.258373205741627,1,0.663087685049618,0.1183,0.6911,47.4924,47.8
南投縣,竹山鎮,0.781317209755306,0.712650234263598,0.589471536421139,0.436906811901806,0.268415658946505,0.310667215815486,2,0.661023302305241,0.17,0.6801,43.0767,53.1
南投縣,信義鄉,0.85000616750956,0.782036828260053,0.707582582582583,0.402509516424644,0.22943949711891,0.192388727943113,0,0.783617612058707,0.1121,0.6519,37,55.4
南投縣,名間鄉,0.770082662144977,0.703082574668583,0.613475366178429,0.463282147707093,0.2696838850685,0.291139240506329,0,0.626960266514992,0.1629,0.6763,44,52.3
南投縣,草屯鎮,0.757246688456907,0.690995610794837,0.602102297355873,0.421657449052056,0.285850985168109,0.313624678663239,1,0.527580402232657,0.2276,0.653,41,56.6
南投縣,魚池鄉,0.785063752276867,0.701278628635661,0.570070921985816,0.424678378752248,0.311139204944515,0.300495399858457,1,0.667581609646113,0.1343,0.6876,46.463,49.9
雲林縣,褒忠鄉,0.749589640707642,0.671598173515982,0.57975797579758,0.497273526824978,0.309693971046362,0.329589394218376,0,0.524941931202301,0.1472,0.6924,45,56
雲林縣,臺西鄉,0.783361064891847,0.715570857396713,0.613203317641784,0.462604487461505,0.261707676607325,0.288094966328045,0,0.610984298263817,0.1291,0.719,45.5586,58.1
雲林縣,大埤鄉,0.786278381046397,0.685977125808056,0.584856396866841,0.50744083922908,0.298319866615365,0.323394495412844,0,0.52384100487563,0.1521,0.6912,44,53.3
雲林縣,水林鄉,0.793080579197524,0.699855378796307,0.592180616740088,0.570245334451667,0.317075943610732,0.308265504986816,0,0.442066136887977,0.118,0.7134,48.2857,53.8
雲林縣,東勢鄉,0.777994791666667,0.693646363487112,0.594536778015468,0.509996775233796,0.300983825245956,0.295420231504781,0,0.558424980361351,0.1243,0.7213,47.1489,58.5
雲林縣,元長鄉,0.781327576902321,0.697199913175602,0.601493183293659,0.52331223628692,0.286602977116196,0.305486845064088,0,0.509572531542276,0.1205,0.7232,48,53.9
雲林縣,麥寮鄉,0.763418903150525,0.69147186655703,0.596414132536474,0.439550140581068,0.290775083214456,0.295773802377236,0,0.642588536716393,0.165,0.6721,37,62.8
雲林縣,崙背鄉,0.772703684483653,0.696422951851463,0.60121098235724,0.505878744504652,0.308182784272051,0.312432197873725,0,0.529779729819658,0.1368,0.7004,44.7279,56.4
雲林縣,四湖鄉,0.773136246786632,0.706188247529901,0.590801886792453,0.517137096774194,0.273237179487179,0.294504903936585,0,0.495883175392264,0.1135,0.7222,47.804,55.2
雲林縣,口湖鄉,0.799433160132263,0.700360326190025,0.608526395746297,0.542896551724138,0.282349491790461,0.293568973981345,0,0.521420047732697,0.1193,0.7061,45,50.6
雲林縣,北港鎮,0.763718380631531,0.690378739839742,0.604363888247518,0.508527572484366,0.315055598046714,0.324807578448786,0,0.476023830354539,0.1969,0.6675,43,58.8
雲林縣,莿桐鄉,0.759616906759538,0.686626429479034,0.592746445119029,0.514995715509854,0.308978730313363,0.327958302793387,0,0.456631660832361,0.1683,0.6827,42,54.6
雲林縣,土庫鎮,0.760209598269983,0.689526494734223,0.595127707999663,0.49400281247415,0.299889276892939,0.326419120785318,0,0.56427100150309,0.1628,0.6915,42.2415,57.3
雲林縣,二崙鄉,0.766532489936745,0.681564792176039,0.587920116902095,0.55165763614657,0.300907911802853,0.327074802756417,0,0.457730061349693,0.1346,0.7055,45.5301,56.2
雲林縣,古坑鄉,0.772899926953981,0.695236705813699,0.607894736842105,0.467330878636922,0.283689522113387,0.310190703218117,0,0.528419508617528,0.1675,0.6925,45,55.6
雲林縣,林內鄉,0.774295817583222,0.694512493875551,0.601156780703913,0.45991922653286,0.307335423197492,0.320378548895899,0,0.479523591387998,0.1677,0.6691,42,52.5
雲林縣,斗南鎮,0.761261908181339,0.697244591054623,0.60803105084096,0.463293698551004,0.307847776791876,0.324349625541979,3,0.507415933879307,0.2178,0.6633,42,56.6
雲林縣,斗六市,0.743873533665435,0.684399451480197,0.605343403542075,0.428602926438164,0.300665703059791,0.316046008891789,1,0.537409034508199,0.2586,0.6532,39.3626,60.2
雲林縣,虎尾鎮,0.748543299176211,0.676789514576225,0.591481744182119,0.445571802778607,0.301818922220714,0.326939456917993,7,0.542665412673801,0.2255,0.6667,40,63.5
雲林縣,西螺鎮,0.733918280463112,0.682814971006853,0.591149515579995,0.505090094675761,0.307853234631477,0.331028522039758,2,0.456495513835482,0.1791,0.6737,41,58
嘉義縣,水上鄉,0.776855076346102,0.688681793625068,0.617347167946818,0.507803013267371,0.30357725852339,0.314806997795601,1,0.334893002133076,0.1706,0.6579,44,55
嘉義縣,六腳鄉,0.795641931684335,0.709821428571429,0.621515368120086,0.559772969137992,0.297085908918885,0.327133757961783,0,0.215952604580594,0.1309,0.7085,50,54.8
嘉義縣,溪口鄉,0.77360248447205,0.72534430900744,0.633586602574043,0.574343122102009,0.326451829472978,0.343400067865626,0,0.215835475578406,0.1366,0.6932,47.9677,53.4
嘉義縣,太保市,0.756040433925049,0.687167100210579,0.608993995833844,0.497443164315199,0.310506085842409,0.334380207665684,0,0.281476689922839,0.1898,0.6622,39.7135,62.9
嘉義縣,大林鎮,0.772319425751458,0.691373025516404,0.604054458408139,0.503274296770353,0.302632594765691,0.327806022682831,0,0.290782422293676,0.1899,0.6781,45.7189,58
嘉義縣,布袋鎮,0.785264885565788,0.714207550610979,0.632279230839333,0.503573342862248,0.272615326323766,0.291870152255099,0,0.308598998412117,0.1424,0.7004,46.3266,55.7
嘉義縣,朴子市,0.765413791136714,0.693770415305646,0.619195046439629,0.514450867052023,0.298170331962572,0.323843628767532,2,0.264005811717448,0.2045,0.6636,42,61.3
嘉義縣,義竹鄉,0.76962628542764,0.702007205352548,0.629502354588265,0.541549036455137,0.29722554095314,0.328653563310603,0,0.190423601798533,0.1415,0.7216,50,54.7
嘉義縣,鹿草鄉,0.760791366906475,0.687140439932318,0.611394697842911,0.558024296675192,0.316414315209911,0.348829080741,0,0.261320464113359,0.1383,0.7153,50,54.2
嘉義縣,東石鄉,0.808857808857809,0.724717779868297,0.646319781913002,0.531914893617021,0.256533266001767,0.276312452447375,0,0.21880353594189,0.1056,0.7195,46.1766,51.5
嘉義縣,中埔鄉,0.769740909346372,0.69358589009244,0.608074673864148,0.507346635412498,0.295560403278109,0.315920545508449,0,0.312956756975007,0.1639,0.6687,43,54.2
嘉義縣,大埔鄉,0.759827420901246,0.703864734299517,0.608943862987631,0.464030490709862,0.29622458857696,0.312161496799606,0,0.283641975308642,0.1327,0.7063,43,53.3
嘉義縣,民雄鄉,0.75849224793862,0.689161751909504,0.616626182562005,0.515431106538931,0.316416927383501,0.3352626151748,1,0.302514516410397,0.2044,0.6513,41.5077,57.7
嘉義縣,竹崎鄉,0.785297325036885,0.711537232342602,0.621058051229244,0.500775594622544,0.279757946535444,0.297349882589735,0,0.285701328737926,0.1454,0.6882,45.2546,53.9
嘉義縣,梅山鄉,0.776126126126126,0.696767631103074,0.628059095522725,0.497821600550333,0.289782048277478,0.307294117647059,0,0.272388651133302,0.1533,0.7027,47,56.1
