"","COUNTY_ID","COUNTY","TOWN_ID","TOWN","V_ID","VILLAGE","H_CNT","P_CNT","M_CNT","F_CNT","INFO_TIME","M_F_RAT","P_H_CNT","P_DEN","DEPENDENCY_RAT","A0A14_A15A65_RAT","A65UP_A15A64_RAT","A65_A0A14_RAT","COLLEGE_COUNT","COLLEGE_RATE","MARRIAGED_COUNT","MARRIAGED_RATE","A0_A19_COUNT","A20_A39_COUNT","A40_A59_COUNT","A60_A79_COUNT","A80up_COUNT","A0_A19_COUNT_RATE","A20_A39_COUNT_RATE","A40_A59_COUNT_RATE","A60_A79_COUNT_RATE","A80up_COUNT_RATE","FLD04"
"75","63000","臺北市","63000030","大安區","63000030-001","德安里","2341","5928","2743","3185","107Y06M","86.12","2.53","40700.03","57.24","23.02","34.22","148.62",3747,63.2085020242915,2787,47.0141700404858,1160,1269,1766,1414,319,19.5681511470985,21.4068825910931,29.7908232118758,23.8529014844804,5.38124156545209,"871"
"76","63000","臺北市","63000030","大安區","63000030-002","仁慈里","2033","5830","2730","3100","107Y06M","88.06","2.87","48238.03","58.68","32.91","25.78","78.33",3536,60.6518010291595,2692,46.1749571183533,1548,1221,1731,1094,236,26.5523156089194,20.9433962264151,29.6912521440823,18.7650085763293,4.04802744425386,"990"
"77","63000","臺北市","63000030","大安區","63000030-003","和安里","2550","7471","3661","3810","107Y06M","96.09","2.93","25072.83","54.26","28.62","25.65","89.61",4492,60.1258198367019,3529,47.2359791192611,1851,1698,2254,1346,322,24.7757997590684,22.7278811404096,30.1699906304377,18.0163298085932,4.3099986614911,"984"
"78","63000","臺北市","63000030","大安區","63000030-004","民炤里","3280","8454","3927","4527","107Y06M","86.75","2.58","32312.07","59.21","25.27","33.94","134.28",5380,63.6385143127514,4050,47.9063165365507,1769,1778,2509,1901,497,20.9250059143601,21.0314643955524,29.6782588123965,22.4863969718476,5.87887390584339,"971"
"79","63000","臺北市","63000030","大安區","63000030-005","仁愛里","2203","5439","2418","3021","107Y06M","80.04","2.47","25763.45","62.55","23.4","39.15","167.31",3423,62.9343629343629,2498,45.9275602132745,1025,1077,1583,1419,335,18.8453759882331,19.8014340871484,29.1046148189005,26.0893546607832,6.15922044493473,"958"
"80","63000","臺北市","63000030","大安區","63000030-006","義村里","2430","5666","2665","3001","107Y06M","88.8","2.33","23056.04","49.42","12.66","36.76","290.42",3629,64.048711613131,2757,48.6586657253795,730,1374,1659,1562,341,12.8838686904342,24.249911754324,29.2799152841511,27.5679491704906,6.01835510060007,"787"
"81","63000","臺北市","63000030","大安區","63000030-007","民輝里","2879","6993","3310","3683","107Y06M","89.87","2.43","20833.46","52.75","17.5","35.26","201.5",4339,62.047762047762,3330,47.6190476190476,1144,1653,1981,1741,474,16.3592163592164,23.6379236379236,28.3283283283283,24.8963248963249,6.77820677820678,"894"
"82","63000","臺北市","63000030","大安區","63000030-008","昌隆里","1246","3157","1491","1666","107Y06M","89.5","2.53","23628.82","55.44","12.51","42.93","343.31",2105,66.6772252138106,1629,51.5996198923028,384,719,913,831,310,12.1634463097878,22.7747861894203,28.9198606271777,26.3224580297751,9.81944884383909,"861"
"83","63000","臺北市","63000030","大安區","63000030-009","誠安里","1809","4164","1875","2289","107Y06M","81.91","2.3","39949.34","47.29","13.37","33.92","253.7",2567,61.6474543707973,1965,47.1902017291066,581,1038,1249,1016,280,13.9529298751201,24.9279538904899,29.9951969260327,24.3996157540826,6.72430355427474,"755"
"84","63000","臺北市","63000030","大安區","63000030-010","光武里","3278","7775","3541","4234","107Y06M","83.63","2.37","40218.5","54.94","21.18","33.76","159.36",4694,60.3729903536978,3611,46.443729903537,1366,1794,2306,1920,389,17.5691318327974,23.0739549839228,29.6591639871383,24.6945337620579,5.0032154340836,"797"
